date,name,value
2012-01-01,萬華區,44.69
2012-01-01,士林區,57.36
2012-01-01,內湖區,55.64
2012-01-01,北投區,45.56
2012-01-01,大安區,83.04
2012-01-01,松山區,69.82
2012-01-01,中正區,74.3
2012-01-01,文山區,44.15
2012-01-01,信義區,76.26
2012-01-01,南港區,62.73
2012-01-01,中山區,60.06
2012-01-01,大同區,53.94
2013-01-01,信義區,70.53
2013-01-01,內湖區,56.22
2013-01-01,中正區,76.01
2013-01-01,松山區,72.02
2013-01-01,中山區,63.57
2013-01-01,大安區,88.99
2013-01-01,南港區,57.4
2013-01-01,大同區,53.24
2013-01-01,士林區,57.65
2013-01-01,萬華區,47.23
2013-01-01,文山區,46.95
2013-01-01,北投區,47.54
2014-01-01,中正區,75.8
2014-01-01,北投區,48.22
2014-01-01,南港區,63.03
2014-01-01,大同區,59.18
2014-01-01,大安區,90.86
2014-01-01,松山區,82.28
2014-01-01,文山區,50.82
2014-01-01,信義區,73.36
2014-01-01,中山區,66.1
2014-01-01,萬華區,47.16
2014-01-01,士林區,60.62
2014-01-01,內湖區,57.94
2015-01-01,士林區,59.17
2015-01-01,中正區,73.8
2015-01-01,松山區,74.48
2015-01-01,信義區,70.5
2015-01-01,中山區,69.86
2015-01-01,北投區,50.29
2015-01-01,文山區,48.33
2015-01-01,南港區,58.44
2015-01-01,內湖區,58.24
2015-01-01,萬華區,49.55
2015-01-01,大同區,55.67
2015-01-01,大安區,86.83
2016-01-01,內湖區,56.36
2016-01-01,信義區,66.18
2016-01-01,大安區,82.45
2016-01-01,士林區,57.49
2016-01-01,中正區,73.2
2016-01-01,大同區,55.56
2016-01-01,松山區,69.72
2016-01-01,萬華區,60.72
2016-01-01,北投區,49.12
2016-01-01,南港區,56.1
2016-01-01,中山區,68.61
2016-01-01,文山區,47.01
2017-01-01,士林區,58.33
2017-01-01,大安區,85.32
2017-01-01,內湖區,56.89
2017-01-01,松山區,68.59
2017-01-01,南港區,53.99
2017-01-01,中正區,77.13
2017-01-01,信義區,68.05
2017-01-01,文山區,47.36
2017-01-01,大同區,57.19
2017-01-01,萬華區,52.07
2017-01-01,北投區,51.38
2017-01-01,中山區,68.13
2018-01-01,信義區,65.24
2018-01-01,萬華區,50.2
2018-01-01,松山區,69.33
2018-01-01,內湖區,55.91
2018-01-01,南港區,55.76
2018-01-01,士林區,57.19
2018-01-01,大同區,60.09
2018-01-01,北投區,50.06
2018-01-01,文山區,45.66
2018-01-01,中正區,72.43
2018-01-01,中山區,66.23
2018-01-01,大安區,86.01
2019-01-01,大安區,84.3
2019-01-01,萬華區,48.77
2019-01-01,中正區,72.39
2019-01-01,士林區,57.27
2019-01-01,信義區,66.55
2019-01-01,中山區,68.26
2019-01-01,內湖區,59.41
2019-01-01,北投區,52.15
2019-01-01,松山區,70.28
2019-01-01,大同區,64.85
2019-01-01,南港區,57.68
2019-01-01,文山區,46.02
2020-01-01,中山區,69.94
2020-01-01,北投區,50.77
2020-01-01,松山區,70.01
2020-01-01,士林區,65.45
2020-01-01,中正區,77.56
2020-01-01,南港區,60.87
2020-01-01,大同區,66.02
2020-01-01,大安區,84.94
2020-01-01,文山區,47.04
2020-01-01,萬華區,52.2
2020-01-01,信義區,68.66
2020-01-01,內湖區,60.36
