date,name,value
2012/1/1,?§æ??€,55.64
2012/1/1,?‡å±±?€,44.15
2012/1/1,å¤§å??€,53.94
2012/1/1,å£«æ??€,57.36
2012/1/1,?—æ??€,45.56
2012/1/1,ä¿¡ç¾©?€,76.26
2012/1/1,ä¸­å±±?€,60.06
2012/1/1,?—æ¸¯?€,62.73
2012/1/1,å¤§å??€,83.04
2012/1/1,?¾å±±?€,69.82
2012/1/1,?¬è¯?€,44.69
2012/1/1,ä¸­æ­£?€,74.3
2013/1/1,å¤§å??€,88.99
2013/1/1,å¤§å??€,53.24
2013/1/1,ä¸­å±±?€,63.57
2013/1/1,ä¿¡ç¾©?€,70.53
2013/1/1,?¬è¯?€,47.23
2013/1/1,?—æ??€,47.54
2013/1/1,?¾å±±?€,72.02
2013/1/1,ä¸­æ­£?€,76.01
2013/1/1,?‡å±±?€,46.95
2013/1/1,?§æ??€,56.22
2013/1/1,?—æ¸¯?€,57.4
2013/1/1,å£«æ??€,57.65
2014/1/1,ä¸­å±±?€,66.1
2014/1/1,å£«æ??€,60.62
2014/1/1,?¾å±±?€,82.28
2014/1/1,ä¸­æ­£?€,75.8
2014/1/1,?—æ??€,48.22
2014/1/1,ä¿¡ç¾©?€,73.36
2014/1/1,?—æ¸¯?€,63.03
2014/1/1,å¤§å??€,90.86
2014/1/1,?¬è¯?€,47.16
2014/1/1,?§æ??€,57.94
2014/1/1,?‡å±±?€,50.82
2014/1/1,å¤§å??€,59.18
2015/1/1,?‡å±±?€,48.33
2015/1/1,ä¸­å±±?€,69.86
2015/1/1,ä¿¡ç¾©?€,70.5
2015/1/1,å¤§å??€,86.83
2015/1/1,?¬è¯?€,49.55
2015/1/1,å£«æ??€,59.17
2015/1/1,?—æ¸¯?€,58.44
2015/1/1,?¾å±±?€,74.48
2015/1/1,å¤§å??€,55.67
2015/1/1,?§æ??€,58.24
2015/1/1,ä¸­æ­£?€,73.8
2015/1/1,?—æ??€,50.29
2016/1/1,å¤§å??€,55.56
2016/1/1,å¤§å??€,82.45
2016/1/1,?—æ??€,49.12
2016/1/1,?‡å±±?€,47.01
2016/1/1,ä¸­å±±?€,68.61
2016/1/1,ä¸­æ­£?€,73.2
2016/1/1,ä¿¡ç¾©?€,66.18
2016/1/1,?§æ??€,56.36
2016/1/1,å£«æ??€,57.49
2016/1/1,?¾å±±?€,69.72
2016/1/1,?¬è¯?€,60.72
2016/1/1,?—æ¸¯?€,56.1
2017/1/1,?‡å±±?€,47.36
2017/1/1,?—æ??€,51.38
2017/1/1,å¤§å??€,57.19
2017/1/1,ä¿¡ç¾©?€,68.05
2017/1/1,?¾å±±?€,68.59
2017/1/1,ä¸­å±±?€,68.13
2017/1/1,å¤§å??€,85.32
2017/1/1,?—æ¸¯?€,53.99
2017/1/1,ä¸­æ­£?€,77.13
2017/1/1,?§æ??€,56.89
2017/1/1,å£«æ??€,58.33
2017/1/1,?¬è¯?€,52.07
2018/1/1,å¤§å??€,86.01
2018/1/1,?§æ??€,55.91
2018/1/1,ä¿¡ç¾©?€,65.24
2018/1/1,å¤§å??€,60.09
2018/1/1,?¾å±±?€,69.33
2018/1/1,?‡å±±?€,45.66
2018/1/1,ä¸­æ­£?€,72.43
2018/1/1,å£«æ??€,57.19
2018/1/1,?—æ¸¯?€,55.76
2018/1/1,ä¸­å±±?€,66.23
2018/1/1,?¬è¯?€,50.2
2018/1/1,?—æ??€,50.06
2019/1/1,?—æ??€,52.15
2019/1/1,?§æ??€,59.41
2019/1/1,ä¸­å±±?€,68.26
2019/1/1,?‡å±±?€,46.02
2019/1/1,å¤§å??€,84.3
2019/1/1,?¬è¯?€,48.77
2019/1/1,å¤§å??€,64.85
2019/1/1,å£«æ??€,57.27
2019/1/1,ä¿¡ç¾©?€,66.55
2019/1/1,ä¸­æ­£?€,72.39
2019/1/1,?¾å±±?€,70.28
2019/1/1,?—æ¸¯?€,57.68
2020/1/1,?¬è¯?€,52.2
2020/1/1,å£«æ??€,65.45
2020/1/1,ä¿¡ç¾©?€,68.66
2020/1/1,?‡å±±?€,47.04
2020/1/1,ä¸­å±±?€,69.94
2020/1/1,?¾å±±?€,70.01
2020/1/1,ä¸­æ­£?€,77.56
2020/1/1,?—æ??€,50.77
2020/1/1,?—æ¸¯?€,60.87
2020/1/1,?§æ??€,60.36
2020/1/1,å¤§å??€,84.94
2020/1/1,å¤§å??€,66.02
