singer_id,singer_name,label_0,label_1,label_2,label_3
0,default,0,0,0,0
104890,183 CLUB,0,2,0,8
162762,187.INC( 187INC ),0,2,0,12
100782,1976樂團,1,18,0,42
106491,1983,0,4,0,13
105353,19樂團( 陳珊妮&陳建騏 ),0,1,0,9
118832,20E Girls,0,0,0,1
110603,23號半,3,1,0,7
104810,2moro( 雙胞胎 ),0,2,0,12
105583,2女( 2Girls ),1,4,0,5
136133,36段迴旋踢樂團,1,4,0,6
100967,4 In Love,0,6,1,13
111574,4ever,0,2,0,3
158126,51( 伍易 ),0,7,0,14
102225,5566( 五六 ),0,25,0,25
102287,8866,0,0,0,3
175180,8ball( 八號球 ),0,3,0,10
106720,90前組合,0,0,1,0
104482,929( 929樂團 ),0,14,3,18
104821,A-Lin( 黃麗玲 ),3,6,0,102
106627,A-ONE( A One ),0,3,2,1
106585,A-Z( AZ ),0,3,0,5
182519,A TEAM,0,1,0,3
180347,A.N.D TAIPEI,0,6,0,4
136414,A2A,0,2,0,3
178932,ACEMAX-RED( 火力紅組合 ),0,2,0,3
136334,AC周予天( 周予天 ),0,0,0,7
118921,AGA( 江海迦 ),0,1,0,11
135954,Agave Butterfly,0,0,0,2
104349,Aimini,0,3,0,14
175111,AK-47樂隊,0,1,0,5
108385,AK( 陳奕&沈建宏 ),0,3,0,14
104843,AKI,0,0,0,3
168724,Aki阿傑( Aki阿杰 ),0,0,0,1
101039,Amfm,0,2,0,6
172863,AMOi-AMOi,0,3,0,3
104937,Andy Kao,0,0,0,1
122420,Ani Tina,0,0,0,1
105747,aniDa,0,0,0,6
172464,ASA( 亞薩 ),0,1,0,5
131045,ASA樂團,0,1,0,6
109998,Ashia,0,0,0,1
122503,Augus Chan,0,1,0,0
139282,Authority of Liberty( 自由權威 ),0,3,0,4
100985,B.A.D.( BAD ),0,14,0,39
105856,Baby Face,0,0,0,2
104465,Babyq,0,1,0,3
119033,BB 彈,0,3,0,2
176876,BBF,0,8,0,17
105569,Beauty Rays,0,0,0,2
100451,Beauty.4,0,3,0,7
169812,Before After,0,2,0,1
174745,BEJ48,1,13,0,9
109268,Benji and Lesley,0,0,0,1
147840,Beyond Cure,0,5,0,9
100002,Beyond( Beyond band ),0,10,1,17
133992,Big Girls,0,0,0,2
105970,Bigtom girls( 冰淇淋女孩 ),0,0,0,2
188208,Bihao,0,0,0,3
172171,BIKE( 機踏車樂團 ),0,6,0,5
101291,Bjack,0,1,0,4
133736,Blue Box,0,3,0,2
105616,BOBO( 井柏然+付辛博 ),0,8,0,9
172258,BOi!,0,2,0,5
127142,BOP天堂鳥( B.O.P ),0,1,0,1
119066,BOX( 王子豪&王子傑 ),0,1,1,7
135542,Boxing( BOXING樂團 ),2,10,0,9
135835,breeze,0,1,0,2
104984,Buddy,0,3,0,6
105607,BY2( 白煒芬&白煒玲 ),1,23,0,53
106757,C.K( 沉珂 ),0,0,0,20
106497,C8樂團,0,5,1,5
123937,Candy Cola( 糖果可樂 ),0,5,0,0
169854,Chase 逐樂團,0,5,0,1
119484,CIGARO,0,3,0,5
108206,CIRCUS樂團( Circus ),0,5,0,8
106080,City Sisters,0,5,0,12
119038,City魅,0,2,1,4
140171,Coffèz,0,0,0,2
105748,COLOR樂團( COLOR BAND ),1,9,0,10
120547,Combine( 抗敗樂團 ),0,1,0,0
169312,Control T,0,4,0,2
102252,Cookies,0,3,0,7
110483,Cozy Diary( 輕日記 ),0,5,0,7
188815,Creed Z,0,2,0,3
107299,cy家族,0,2,0,1
108357,dance flow,0,3,0,7
120530,dayDream( dayDream樂團 ),0,13,0,12
105651,Dear Jane( Dear Jane band ),0,0,0,2
134022,Dears( Dewi & 小安 ),0,0,0,3
111836,Dianna( 狄安娜樂團 ),0,0,0,4
108121,dish樂隊,1,5,0,5
110357,DIVA 彩月團,0,0,0,1
176344,DK金大為( David King ),0,2,0,9
184128,Dough-Boy( 何翱 ),0,0,0,1
186541,Dr. 詹姆士醫療團隊,0,2,0,4
109658,Dream Girls,0,4,0,13
176159,Dymi黛米( 黛米 ),0,0,0,22
172891,E-eye-E,0,0,0,1
102416,E-Kids,0,0,0,1
107715,Easy,0,1,0,6
137193,Easy Shen( Easy ),2,9,0,18
108568,ECHO,0,3,0,7
106310,ECHO( 回聲樂團 ),2,25,0,32
101424,EDITEC( 電輯器 ),0,0,0,1
112621,ElectroO2,1,2,0,5
135936,elephant DEE,0,0,0,2
105253,ELLA( 陳嘉樺 ),1,2,0,25
184679,EMPTY( Empty(HK) ),0,1,0,0
102215,Energy,0,24,2,47
105072,Et Star,0,0,0,5
105954,EVER樂隊( EVER樂團 ),0,0,0,1
111565,EXO-M,0,1,0,8
119533,EXO( 엑소 ),0,14,0,47
101265,F4,0,7,0,25
110815,Febe( 菲比 ),0,0,0,6
120835,Fever Trend,0,1,0,2
106723,Finn,0,6,1,7
105040,FIRE,0,1,0,4
125098,Flux(TW),0,4,0,7
110165,Frandé( 法蘭黛樂團 ),3,1,0,30
108113,Free Party( 自由派對 ),0,6,0,16
114351,Fresh M,0,1,0,3
123174,FS( Fuying & Sam ),0,6,0,24
106631,Fun4,0,3,1,11
105573,FUSION樂團,0,8,1,13
155962,G$MOB( 黑錢幫 ),0,3,0,2
180936,GALA樂隊( Gala ),0,1,0,0
100602,Gary麟( 蔡興麟 ),0,1,0,6
133730,Gavin 崇喆,0,0,0,1
135933,Gentleman,0,2,0,6
127343,Gentlemen( 紳士樂團 ),0,0,0,2
109170,GIA,0,2,0,2
112634,GINA( 囝仔 ),0,3,0,5
104646,Gloria( Gloria Ling ),0,0,0,7
182175,GNZ48,1,34,0,32
113234,Go Go Rise( 美好前程樂團 ),0,10,1,13
105565,Godfather Band( 教父樂團 ),0,4,0,6
119540,Ground Zero( 放射空間 ),2,11,0,13
170487,H.T.J.樂團( HTJ ),0,2,0,1
176970,HANA菊梓喬( Hana Kuk ),0,0,0,1
136558,hanjin,0,0,0,1
135900,HAYA樂團,0,4,0,4
104353,Hc3,0,1,0,0
178960,HCC,0,4,1,7
133635,Hello Nico,0,4,0,14
109540,HERO,0,2,0,2
185239,Hey Rachel,0,0,0,2
107193,Hide and Six( Hide & Six ),0,2,0,3
106767,HIT-5,0,4,0,10
134193,HITA,0,0,0,1
124492,Honey Bees,0,1,0,0
126482,Hope,0,4,0,5
134084,HunterZ,0,0,0,2
110941,HUSH( 陳家偉 ),0,10,0,34
104382,I Love You Boyz( 艾粒仔 ),1,2,0,0
109050,i Me,0,3,0,2
104850,i.n.g( ing ),0,0,0,10
161585,Ice Lady,0,0,0,2
126764,ICE MAN,0,1,0,6
166145,Icy Ball( 冰球樂團 ),0,3,0,7
152709,Idol School( 偶像學校 ),1,12,1,5
104388,In-Love( InLove ),0,0,0,4
109419,InDie Famous樂團,0,1,0,2
109376,io樂團( Band IO ),0,8,0,27
108603,Iris安,0,1,0,1
109846,IVI,0,1,0,3
187679,J.Sheon( 街巷 ),0,4,0,9
124049,Jacuzzi( 賈庫西 ),0,1,0,12
104556,JAM(團),0,0,0,10
111572,Jamaster A( 楊振龍 ),0,0,0,1
170911,Jason Piano,0,1,0,2
170380,JC陳泳彤( JC ),1,0,1,0
104975,Jelly Bean,2,3,0,6
109386,Jerry & Merry,0,1,0,9
119130,Jesus Fashion Family,0,6,0,3
171988,Jewel 4 U,0,0,0,1
134282,JKAI( 傑凱 ),0,1,0,8
120652,Joanne Wu,0,0,0,1
104996,JOKER,0,7,0,14
110046,JPM,0,5,0,15
104376,JS( Justin+Sophia ),2,16,0,44
110282,Julie( 劉景莊 ),0,1,0,7
180798,JUMP樂團( JUMP ),1,0,0,2
119162,Just,0,0,0,1
134999,JUSTAR,0,0,0,1
115970,Juzzy Orange,0,0,0,17
104236,K ONE,0,14,0,23
176416,KAWA樂隊( Kawa ),0,3,0,0
169937,KENJI,0,0,0,1
105991,KenT( 王健 ),2,4,0,18
110721,KillerSoap( 殺手鐧 ),0,6,0,10
106850,KingStar,0,4,0,29
100004,Kiss,0,2,1,7
102266,Kook,0,0,0,3
161725,KSP,0,1,0,0
109104,Kz( 畸詩 ),0,5,0,3
121804,L.B.C.( 喇叭嘴愛裝熟 ),0,3,0,9
101085,LA BOYZ( 洛城三兄弟 ),0,8,0,11
105678,Lacedoll,0,1,0,3
117363,LADYZ,0,1,0,1
171049,LamiGirls,0,3,0,1
101034,La四賤客,0,3,0,4
172422,Leo王,4,0,0,12
102230,Linda( 廖語晴 ),1,3,0,27
168311,Lion( 獅子樂團 ),0,5,0,9
102267,Lisa(TW),0,0,0,16
143836,Lois Cheung,0,1,0,2
179743,LOOKINGFOR,0,1,0,1
110001,Lotte Girls( 樂天女孩 ),0,4,0,8
108103,Love Mañana‭,0,1,0,1
133918,LTB,0,1,0,8
104010,LUPA,1,0,0,0
135538,LYRA,0,2,0,6
172660,M-100組合,0,2,1,3
106521,M-Girls( 四個女生 ),5,103,2,36
106522,M2( 夢瑩&夢珂 ),1,4,0,3
104590,M3,0,0,0,3
118874,Macbeth( 馬克白 ),0,11,0,9
121743,Maffine( 瑪啡因樂團 ),1,5,0,8
109413,Magi-clean( 魔術靈 ),0,1,0,4
118959,Manic Sheep,0,5,0,11
110261,Mary See the Future( 先知瑪莉 ),0,2,0,1
109497,MastaMic( 馬米 ),0,0,0,1
107451,Material物樂團,0,4,0,0
109385,MATZKA( 瑪斯卡樂團 ),1,11,0,16
101024,MC HotDog( 熱狗 ),5,20,1,36
134263,Mi2,0,1,0,2
105519,Michael孫( MICHAEL SUN ),0,1,0,4
109893,MIC男團( M.I.C.男團 ),0,2,0,22
106747,Mida( 療傷小魔女 ),0,2,0,17
104295,Mini&顧兒,0,3,0,6
100741,Mirai,0,1,0,7
109481,MISSTER,0,3,0,4
110113,Mister Mouth,0,6,0,13
116871,MIXION( 迷炫作用 ),0,0,0,3
106606,MODS,1,1,0,7
105361,Moe欣欣( Moe ),0,2,0,15
105076,Mojo樂團,0,4,0,8
108068,MOMO,0,3,0,17
114669,MOMO DANZ( 魔電女孩 ),0,0,0,5
155787,Mona Lavi、新街口組合,0,2,0,8
105986,Mongo So( 蘇孚 ),2,1,0,7
130802,movin',0,0,0,2
108062,MP魔幻力量( Magic Power ),0,22,0,30
105781,Mr.( Mr.樂隊 ),0,0,0,2
104690,My Little Airport( 小機場樂團 ),0,5,0,12
172257,N.P.E.自由引力( Nine Point Eight ),0,1,0,12
114799,N2O,0,4,0,3
156148,Nabowa,1,1,0,0
106300,Nana,0,0,0,1
152362,Nasyy( 南西樂團 ),0,0,0,1
169670,Nawan Alisin( 阿修 ),2,2,2,3
134868,NCB,0,0,0,1
105540,NEON樂團( 霓虹 ),0,3,0,5
108572,NEWZ,0,2,0,9
181694,NINETYNINE( 99樂團 ),0,1,0,0
121132,No Limit 無限甜心,0,1,0,4
104384,No Name( 余荃斌 ),0,8,0,35
123938,Nora Says,2,6,0,14
105980,Nylas,1,7,0,2
123628,OK繃( OK Ban ),0,3,0,13
111285,Oli杭士琁＋Band,1,5,0,13
105694,OpenEye( 歐噴愛 ),0,1,0,0
108543,OVERDOSE,0,1,0,3
110091,P!SCO( P!SCO樂團 ),0,11,1,15
107162,PAIR樂團( 派兒樂團 ),0,5,0,5
182393,Paliulius 樂團,0,8,0,3
110209,PB33樂隊,1,2,0,6
112504,PiA樂團( PiA ),0,1,0,0
113235,PINK HAZE,0,3,0,7
104932,PK14( the Public Kingdom for Teens ),1,3,0,9
164951,PLAN-S,0,1,0,0
118736,Play Fun 樂團( 普雷放 ),0,2,0,3
118699,Popu Lady,1,5,0,15
171437,PROJECT APJ,0,1,0,4
135535,Q-Genz( 巧千金 ),2,8,0,1
104265,R&B,0,1,0,8
137194,RaJor,0,3,1,13
104691,Ray,0,3,0,8
188039,RCM 激進主義,0,3,0,3
106530,Reborn雙魚座( Reborn ),0,4,0,6
110626,Robynn & Kendy( 葉晴晴 & 孫曉慧 ),0,1,0,8
188878,Rochellion,0,0,0,1
110048,Roomie,0,4,0,4
105488,RubberBand,0,9,0,10
106104,S-Two,0,0,0,4
101283,S.H.E( 女朋友 ),4,50,1,131
146347,SAGAS,0,0,0,1
182449,SASA( 吳亞凡 ),0,1,0,1
109928,SD5( SD5行堂 ),0,4,0,6
104694,Seven7rock,0,7,0,3
104693,Seventh Day,0,2,0,7
105358,Shelly 佳,0,0,0,10
102169,Shine( 徐天佑&黃又南 ),0,11,1,8
109380,SIGMA,0,5,0,6
118697,Silent Toads,0,4,0,6
107268,Silverbus,0,2,0,5
169302,SmashRegz( 違法 ),1,3,0,12
104840,SM大樂隊,1,3,0,1
118784,SNH48,1,106,3,132
104538,Soler( 太陽系樂團 ),1,4,0,2
187817,SORA,0,0,0,4
100367,Sos( ASOS ),0,4,0,8
150589,sp'ACE( spACE ),0,1,0,1
135270,Space Cake,0,1,0,2
139683,Space Cake( 史貝絲考克樂團 ),1,5,0,4
118676,SpeXial,0,21,0,34
132816,Spicy Girl( 麻辣女生 ),0,0,0,1
110389,SS.G( 學前班 ),0,4,0,5
180148,STEViE,0,2,0,2
105051,StyLe,0,3,0,7
104776,SugarDaddy( 蜜糖老爹 ),0,3,0,5
109980,Suming 舒米恩( 舒米恩 ),1,19,3,19
104919,Sun Boy'z( Sun Boyz ),0,3,0,7
132229,Sun Lady( 太陽女神 ),0,0,0,1
101216,Sunday Girls,0,4,0,6
118686,Super 131,0,1,0,5
100043,Super Junior-M( SJ-M ),0,7,0,30
109105,Supper Moment,0,1,0,0
102446,Sweety,3,9,0,17
106531,S翼樂團( S.Wing ),0,6,0,3
120564,T-CRASH,0,5,0,5
105789,T-Nossy( TNossy ),0,1,0,4
104157,T-Rush,0,1,0,9
136403,T-WORK (踢窩客),0,1,0,5
106537,T.G.4,0,2,0,8
135901,T.P.I( 台灣練習生 ),0,1,0,2
105010,T.R.Y( TRY ),2,12,0,25
104824,Tank( 呂建中 ),1,16,0,33
101140,Tension,0,13,1,34
127521,TFBOYS( The Fighting Boys ),2,33,1,15
108777,The Angel Without Wings( 艾瑋倫 ),0,3,0,5
135001,The Bombers( 炸彈客 ),0,2,0,3
109867,The Crew( 樂酷 ),0,5,0,4
118672,The Looking Glass,1,2,0,5
