,text,count
0,轉過,1
1,街仔路,1
2,無意義,1
3,走衝,1
4,天光,1
5,天黑,3
6,萬事,1
7,攏照,1
8,無聊,14
9,起狂,1
10,忍受到,1
11,囉唆,2
12,世界,157
13,前途,3
14,看不著,1
15,聲音,5
16,青春,26
17,戰爭,4
18,渴望,4
19,流血,3
20,什麼,80
21,絕招,1
22,好兄弟,2
23,打攏,1
24,想要,86
25,走路,3
26,真真正正,1
27,英雄,20
28,麥憨,3
29,黑白,1
30,執著,7
31,反而,12
32,蹉跎,3
33,等候,6
34,錯過,4
35,找到,23
36,成就,3
37,墜落,4
38,溫暖,10
39,折磨,1
40,寂寞,26
41,太多,17
42,喧嘩,3
43,擁擠,2
44,自由,42
45,野獸,2
46,是否,24
47,看穿,2
48,假裝,5
49,冷漠,3
50,害怕,12
51,帶走,5
52,屬於,7
53,溫柔,32
54,清楚,5
55,朦朧,1
56,瞭解,12
57,惶恐,1
58,保持,3
59,沉默,18
60,脆弱,2
61,忍耐,9
62,洶湧,1
63,巨大,7
64,海洋,10
65,雨下,1
66,失去,14
67,自己,132
68,形狀,4
69,看到,40
70,遠方,4
71,愛情,55
72,模樣,9
73,曾經,29
74,孤單,42
75,徬徨,3
76,相信,62
77,失望,17
78,穿過,26
79,重重,2
80,迷惘,2
81,慌張,2
82,終於,45
83,解放,1
84,狂戀,1
85,勇敢,12
86,挑戰,5
87,一樣,42
88,身體,5
89,裡面,20
90,感覺,33
91,無所謂,1
92,沒有,105
93,界限,1
94,謎樣,1
95,魔力,1
96,強烈,1
97,星星,11
98,夜空,2
99,閃亮,1
100,星空,14
101,不停,13
102,流浪,6
103,無知,6
104,奔忙,1
105,因為,42
106,眼光,1
107,化成,6
108,光亮,1
109,全部,6
110,漂亮,3
111,不過,8
112,可愛,6
113,雙手,13
114,投降,19
115,跨出,1
116,城牆,2
117,長出,8
118,翅膀,5
119,Repeat,40
120,今天,33
121,陽光,8
122,突然,40
123,然後,47
124,發現,35
125,改變,30
126,今後,3
127,如果,125
128,怎麼,46
129,渡過,2
130,風光,8
131,身邊,23
132,從來,10
133,關係,3
134,擁有,35
135,打擾,3
136,知道,48
137,明瞭,4
138,為什麼,53
139,明明,3
140,靠近,9
141,黎明,14
142,綺麗,2
143,總是,23
144,不知不覺,7
145,不情,2
146,不願,2
147,巷子,2
148,預兆,2
149,理由,10
150,真的,44
151,親愛的,13
152,甘放,2
153,暗眠,4
154,雨聲,3
155,親像,13
156,海浪,4
157,棉被,4
158,底下,2
159,代誌,8
160,已經,45
161,不再,27
162,可能,8
163,天頂,10
164,眼屎,2
165,命運,31
166,你我,31
167,逗作,2
168,享受到,2
169,愛人,12
170,甜蜜,3
171,拆分,3
172,親愛,8
173,今仔日,3
174,人生,118
175,永遠,77
176,太空,3
177,擔當,3
178,昨日,7
179,水流,3
180,葬入,3
181,麥想起,2
182,粒星,2
183,飛過,11
184,落雨,3
185,放袂,2
186,海湧,1
187,下跤,1
188,落袂,1
189,目屎,2
190,袂滇,1
191,鬥做,1
192,享受,8
193,無地,1
194,tsiong,2
195,gu,14
196,png,1
197,tsu,9
198,lu,1
199,si,1
200,hong,1
201,tshu,1
202,想起,9
203,彼粒星,1
204,hit,1
205,liap,1
206,tshinn,1
207,又閣,1
208,暗暝,1
209,沈重,6
210,振動,6
211,好子,5
212,歹人,6
213,只是,34
214,飄浪,6
215,西東,5
216,做人,6
217,奸巧,5
218,鑽縫,5
219,甘願,15
220,憨人,10
221,頭腦,9
222,空空,10
223,米蟲,8
224,怎歡喜,8
225,甘講,9
226,走過,40
227,只有,30
228,希望,60
229,心肝,18
230,總有一天,15
231,金條,5
232,環境,5
233,戲弄,7
234,背景,5
235,無夠,10
236,天才,5
237,逐項,5
238,攏輸,5
239,只好,7
240,看破,6
241,虛華,5
242,路歹行,4
243,大雨,7
244,面對,6
245,知影,8
246,總會,14
247,毋敢,1
248,毋是,6
249,眠夢,3
250,毋願,2
251,戇人,2
252,秋冬,2
253,lo,5
254,bng,3
255,彼个,2
256,kinn,2
257,ku,20
258,行過,2
259,驚路,1
260,歹行,1
261,一字,1
262,lalalala,1
263,啦啦啦啦,2
264,志明,8
265,真正,42
266,按怎,12
267,相偎,3
268,春嬌,8
269,其實,24
270,攏總,3
271,走到,8
272,淡水,5
273,海岸,3
274,最好,9
275,凍止,2
276,麥閣,4
277,傷心,14
278,心情,28
279,影寒,3
280,電影,6
281,準嘟煞,2
282,地方,31
283,相見,4
284,留戀,4
285,愛上,15
286,即使,14
287,出現,19
288,拋棄,3
289,最後,64
290,情緣,3
291,縱然,3
292,遼闊,4
293,外面,4
294,精采,9
